Timestamp,game,balanced,challenge,unsure,smart,difficult,strategy,won
4/29/2017 10:25:31,data/questionnaire\19evo-save.txt,3,5,1,5,7,5,Ne
5/1/2017 22:28:06,data/questionnaire\19evo-save.txt,6,6,5,6,5,5,Ne
5/1/2017 23:31:20,data/questionnaire\19evo-save.txt,4,6,2,6,6,6,Ne
4/26/2017 3:08:37,data/questionnaire\1evo-save.txt,7,6,6,7,6,6,Ne
4/26/2017 18:43:35,data/questionnaire\1evo-save.txt,6,6,3,6,6,7,Ne
4/26/2017 20:22:07,data/questionnaire\1evo-save.txt,3,5,3,6,5,5,Ano
4/29/2017 10:30:23,data/questionnaire\1evo-save.txt,2,3,2,4,6,5,Ne
5/1/2017 22:30:34,data/questionnaire\1evo-save.txt,3,5,3,5,5,5,Ne
5/1/2017 23:35:48,data/questionnaire\1evo-save.txt,4,6,3,6,5,6,Ne
4/26/2017 3:10:55,data/questionnaire\2evo-save.txt,5,7,5,7,7,7,Ne
4/26/2017 18:47:51,data/questionnaire\2evo-save.txt,6,6,3,6,6,7,Ne
4/26/2017 20:24:59,data/questionnaire\2evo-save.txt,6,5,5,5,5,5,Ne
4/29/2017 10:37:21,data/questionnaire\2evo-save.txt,4,6,7,6,6,7,Ano
5/1/2017 22:32:15,data/questionnaire\2evo-save.txt,3,4,5,5,5,5,Ne
5/1/2017 23:38:20,data/questionnaire\2evo-save.txt,3,4,2,5,6,5,Ne
4/26/2017 3:13:57,data/questionnaire\3evo-save.txt,7,7,7,7,4,7,Ne
4/26/2017 18:51:34,data/questionnaire\3evo-save.txt,6,6,3,6,7,6,Ne
4/26/2017 20:27:06,data/questionnaire\3evo-save.txt,2,2,2,5,7,5,Ne
4/29/2017 10:47:42,data/questionnaire\3evo-save.txt,2,3,1,5,3,6,Ano
5/1/2017 22:34:22,data/questionnaire\3evo-save.txt,5,5,3,5,5,5,Ne
5/1/2017 23:41:55,data/questionnaire\3evo-save.txt,6,6,6,6,5,6,Ne
4/26/2017 3:15:43,data/questionnaire\4evo-save.txt,2,6,3,4,7,4,Ne
4/26/2017 19:10:36,data/questionnaire\4evo-save.txt,5,6,2,6,7,7,Ne
4/26/2017 20:30:04,data/questionnaire\4evo-save.txt,7,5,6,5,5,6,Ano
4/29/2017 10:53:26,data/questionnaire\4evo-save.txt,1,4,1,4,7,6,Ne
5/1/2017 22:35:53,data/questionnaire\4evo-save.txt,1,4,1,4,7,4,Ne
5/1/2017 23:43:25,data/questionnaire\4evo-save.txt,2,4,2,4,6,4,Ne
4/26/2017 3:17:30,data/questionnaire\5evo-save.txt,3,7,5,7,6,6,Ne
4/26/2017 19:12:45,data/questionnaire\5evo-save.txt,2,6,1,6,7,7,Ne
4/26/2017 20:31:44,data/questionnaire\5evo-save.txt,3,3,3,5,5,5,Ne
4/29/2017 11:19:16,data/questionnaire\5evo-save.txt,2,4,1,5,6,4,Ne
5/1/2017 22:37:35,data/questionnaire\5evo-save.txt,2,4,2,4,6,2,Ne
5/1/2017 23:51:49,data/questionnaire\5evo-save.txt,4,6,3,6,6,6,Ne
4/26/2017 3:19:30,data/questionnaire\6evo-save.txt,1,7,2,7,7,7,Ne
4/26/2017 19:19:23,data/questionnaire\6evo-save.txt,6,5,3,6,6,6,Ano
4/26/2017 20:33:26,data/questionnaire\6evo-save.txt,1,2,2,5,7,6,Ne
4/29/2017 11:25:30,data/questionnaire\6evo-save.txt,2,3,1,5,1,5,Ano
5/1/2017 22:39:44,data/questionnaire\6evo-save.txt,2,2,2,4,1,4,Ano
5/1/2017 23:54:10,data/questionnaire\6evo-save.txt,4,2,2,5,2,5,Ano
4/26/2017 3:21:03,data/questionnaire\7evo-save.txt,1,7,1,5,7,6,Ne
4/26/2017 19:22:19,data/questionnaire\7evo-save.txt,6,7,6,7,5,7,Ano
4/26/2017 20:35:56,data/questionnaire\7evo-save.txt,6,6,7,6,5,5,Ano
4/29/2017 11:29:42,data/questionnaire\7evo-save.txt,3,5,2,6,7,5,Ne
5/1/2017 22:42:04,data/questionnaire\7evo-save.txt,2,4,2,5,6,5,Ne
5/1/2017 23:58:27,data/questionnaire\7evo-save.txt,4,6,5,6,5,5,Ne
4/26/2017 3:25:14,data/questionnaire\8evo-save.txt,7,6,7,7,5,7,Ano
4/26/2017 19:25:25,data/questionnaire\8evo-save.txt,2,2,2,3,3,5,Ano
4/26/2017 20:40:18,data/questionnaire\8evo-save.txt,2,2,2,2,2,2,Ano
4/29/2017 11:33:59,data/questionnaire\8evo-save.txt,2,3,1,3,2,4,Ano
5/1/2017 22:44:17,data/questionnaire\8evo-save.txt,2,2,2,4,2,4,Ano
5/2/2017 0:02:18,data/questionnaire\8evo-save.txt,5,4,3,6,3,6,Ano
4/26/2017 3:28:07,data/questionnaire\9evo-save.txt,7,7,7,7,7,7,Ne
4/26/2017 19:30:27,data/questionnaire\9evo-save.txt,6,6,5,6,7,7,Ne
4/26/2017 20:43:46,data/questionnaire\9evo-save.txt,2,3,2,5,6,5,Ne
4/29/2017 11:38:04,data/questionnaire\9evo-save.txt,4,3,5,6,5,5,Ne
5/1/2017 22:46:23,data/questionnaire\9evo-save.txt,2,5,2,5,6,5,Ne
5/2/2017 0:07:51,data/questionnaire\9evo-save.txt,4,6,3,6,6,6,Ne
